spotify_id,name,artists,country,popularity,danceability,energy,loudness,acousticness,instrumentalness,valence,tempo,mood
1SGvjfc85yzqKXsfKcCxn2,heart pt. 6,Kendrick Lamar,worldwide,81,0.704,0.647,-7.664,0.27,0.0,0.585,80.998,neutral
06qMRF18gwbOYYbnP2du6i,Last Christmas - Single Version,Wham!,worldwide,75,0.733,0.598,-8.228,0.212,3.71e-06,0.935,107.732,love/romance
0wgOhYnqZKjOHr6bmdz0aN,gloria (with sza),"Kendrick Lamar, SZA",worldwide,80,0.719,0.555,-9.785,0.22,0.0,0.413,140.07,neutral
3aZptNYC6Z1YoumeqZcDcQ,"gnx (feat. hitta j3, youngthreat, peysoh)","Kendrick Lamar, Hitta J3, YoungThreat, Peysoh",worldwide,80,0.75,0.556,-7.275,0.134,0.0,0.736,179.911,love/romance
1QoyuMHNBe7lg3YW4Qtll4,St. Chroma (feat. Daniel Caesar),"Tyler, The Creator, Daniel Caesar",US,89,0.576,0.884,-5.058,0.357,0.0,0.373,150.45,neutral
1bJRd2ey6ER7neSxZwYdAG,Kisses (feat. bbyclose),"BL3SS, CamrinWatsin, bbyclose",GB,84,0.793,0.779,-4.609,0.279,0.000311,0.687,142.002,energetic
6qo8v2y2MHUSPLs7VBc6cG,Dancing Through Life,"Jonathan Bailey, Ariana Grande, Ethan Slater, Marissa Bode, Cynthia Erivo",GB,71,0.468,0.384,-11.008,0.146,0.0,0.397,123.619,neutral
726SEjbF3ToEbYbn43gnxl,Nice To Meet You,Myles Smith,GB,80,0.762,0.783,-5.206,0.329,0.0,0.84,115.091,happy
21B4gaTWnTkuSh77iWEXdS,Juno,Sabrina Carpenter,GB,88,0.633,0.725,-4.257,0.0461,0.0,0.64,130.504,energetic
4Vm5J277k6HH6CNZEZXAE9,لفينا الدنيا,"Reda El Bahrawy, Muslim",EG,58,0.788,0.691,-4.883,0.0601,0.0,0.548,105.018,neutral
7I2GzEUE2hADoq9uuAvYh7,Ana Ghaltan,Bahaa Sultan,EG,55,0.518,0.713,-7.644,0.393,1.03e-05,0.487,87.807,neutral
6bltDO0jvqd9OQqhtR4Hjf,روقان,Hoda Bondok,EG,57,0.806,0.926,-3.932,0.06,0.265,0.897,124.001,happy
1f18HzFpegqvH4ibGJyeMJ,2 hands,Tate McRae,CA,82,0.608,0.806,-3.443,0.121,0.0,0.587,104.032,energetic
3MzJ2M9PzfCtaGMHAirjIM,عم المجال,Mahmoud El Leithy,EG,59,0.75,0.872,-4.095,0.319,0.0,0.796,92.013,happy
4K1Pg0FLno1ltzX3jeqT83,"dodger blue (feat. wallie the sensei, siete7x, roddy ricch))","Kendrick Lamar, Wallie the Sensei, Siete7x, Roddy Ricch",worldwide,77,0.796,0.536,-7.93,0.0552,0.0,0.662,83.492,love/romance
442ifpYGFKfyz8PohOQEVd,"dodger blue (feat. wallie the sensei, roddy ricch, siete7x)","Kendrick Lamar, Wallie the Sensei, Roddy Ricch, Siete7x",worldwide,28,0.802,0.536,-8.015,0.0529,4.24e-06,0.677,83.504,love/romance
5xPvy0TW5W47hgyYas9bnt,gloria (feat. sza),"Kendrick Lamar, SZA",US,26,0.723,0.561,-9.878,0.233,0.0,0.431,140.061,neutral
0VaeksJaXy5R1nvcTMh3Xk,"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator, Teezo Touchdown",US,87,0.373,0.818,-3.19,0.36,0.0,0.361,97.571,neutral
3ZZyUf7WkhfN1JkQZZ00fI,People Watching,Sam Fender,GB,69,0.476,0.908,-4.569,0.00776,0.000553,0.649,161.011,neutral
3wo3d0I5H8KjkwGvnz8WbB,Somedays,"Sonny Fodera, Jazzy, D.O.D",GB,79,0.671,0.753,-6.045,0.019,1.29e-05,0.543,127.926,energetic
3nHuKdFJZm78CoeBnDcFKe,Bad Dreams,Teddy Swims,GB,86,0.707,0.68,-6.203,0.274,0.0,0.62,125.058,love/romance
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,worldwide,89,0.672,0.52,-7.747,0.859,0.0,0.37,120.001,neutral
60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,worldwide,88,0.556,0.864,-5.87,0.00958,0.0,0.4,105.143,neutral
2HBBM75Xv3o2Mqdyh1NcM0,Heavy Is the Crown,Linkin Park,worldwide,79,0.571,0.928,-3.725,0.00932,0.0,0.488,127.939,neutral
5RePVWy39tLpHH0WwXgBsK,Rah Tah Tah,"Tyler, The Creator",US,87,0.661,0.878,-4.099,0.00289,0.0,0.514,82.557,energetic
2aYHxnMF2umAavtgBvmkY1,Thought I Was Dead (feat. ScHoolboy Q & Santigold),"Tyler, The Creator, ScHoolboy Q, Santigold",US,85,0.77,0.859,-3.382,0.362,0.0,0.64,129.77,energetic
3xKsf9qdS1CyvXSMEid6g8,Pink + White,Frank Ocean,US,87,0.545,0.545,-7.362,0.667,5.48e-05,0.549,159.94,neutral
3dj4wgM3cPeuLwMNHDuBon,The Door,Teddy Swims,GB,86,0.731,0.861,-5.483,0.0193,0.0,0.759,127.922,happy
4d2jV5fmX6hbRwaRbY39dt,Wavy,Karan Aujla,CA,71,0.567,0.752,-3.863,0.04,0.0,0.498,90.027,neutral
2c7z5oRcPBbqRaBY2mLWcf,NEW DROP,Don Toliver,CA,85,0.757,0.628,-6.715,0.189,0.0209,0.321,119.98,neutral
3mg9jYNC1NihbthlglzrWP,+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",worldwide,84,0.848,0.712,-3.574,0.221,0.0,0.692,91.98,energetic
4nyF5lmSziBAt7ESAUjpbx,"I miss you, I’m sorry",Gracie Abrams,GB,84,0.445,0.455,-6.405,0.731,1.47e-06,0.151,109.885,neutral
3HrHhTWonBqF4mDasi8xvC,BACKBONE,"Chase & Status, Stormzy",GB,77,0.777,0.934,-0.959,0.285,3.86e-05,0.637,88.009,energetic
24XihnoVPWXlKJ4BgXqjVM,It's ok I'm ok,Tate McRae,CA,85,0.754,0.514,-7.721,0.0257,3.98e-05,0.363,114.997,neutral
0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",worldwide,89,0.56,0.681,-6.304,0.103,0.0,0.388,155.079,neutral
6i5qhmmF9UNUBRyrPSGn4m,Two Faced,Linkin Park,worldwide,78,0.51,0.945,-5.405,0.000658,4.8e-06,0.323,91.906,neutral
